id,fichier,terme,article,image_url,licence,auteur,licence_url,attribution_requise
minamimaguro,minamimaguro.jpg,ja:南鮪,https://ja.wikipedia.org/wiki/マグロ,https://upload.wikimedia.org/wikipedia/commons/9/99/Fish4499_-_Flickr_-_NOAA_Photo_Library.jpg,Public domain,"SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC.",,false
makajiki,makajiki.jpg,ja:真梶木,https://ja.wikipedia.org/wiki/マカジキ,https://upload.wikimedia.org/wikipedia/commons/f/ff/Stripe_marlin_right_off_the_coast_of_Carrillo.jpg,CC BY-SA 3.0,Jackiemora01,https://creativecommons.org/licenses/by-sa/3.0,true
suma,suma.jpg,ja:スマ,https://ja.wikipedia.org/wiki/スマ,https://upload.wikimedia.org/wikipedia/commons/7/78/Euaff_u0.gif,Public domain,,,false
hirasoda,hirasoda.jpg,ja:平宗太,https://ja.wikipedia.org/wiki/平幹二朗,https://upload.wikimedia.org/wikipedia/commons/e/e2/Hira_Mikijiro.jpg,Public domain,婦人生活社　撮影者不明,,false
hagatsuo,hagatsuo.jpg,ja:歯鰹,https://ja.wikipedia.org/wiki/ハガツオ,https://upload.wikimedia.org/wikipedia/commons/0/0d/Saori_u0.gif,Public domain,,,false
kamatoro,kamatoro.jpg,ja:クロマグロ,https://ja.wikipedia.org/wiki/クロマグロ,https://upload.wikimedia.org/wikipedia/commons/7/73/Pacific_bluefin_tuna.jpg,CC BY 2.1 jp,aes256,https://creativecommons.org/licenses/by/2.1/jp/deed.en,true
masunosuke,masunosuke.jpg,ja:鱒の介,https://ja.wikipedia.org/wiki/マスノスケ,https://upload.wikimedia.org/wikipedia/commons/0/01/Chinook_salmon.jpg,Public domain,,,false
tokishirazu,tokishirazu.jpg,ja:時知らず,https://ja.wikipedia.org/wiki/ニュース_シブ5時,https://upload.wikimedia.org/wikipedia/commons/5/59/News_Shibu5ji.jpg,CC0,Japan Broadcasting Corporation,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
keiji,keiji.jpg,ja:鮭児,https://ja.wikipedia.org/wiki/サケ,https://upload.wikimedia.org/wikipedia/commons/3/38/Salmon_%28breeding_color%29.jpg,CC BY-SA 3.0,コンピュータが読み取れる情報は提供されていませんが、Vineyardだと推定されます（著作権の主張に基づく）,https://creativecommons.org/licenses/by-sa/3.0,true
ginzake,ginzake.jpg,ja:銀鮭,https://ja.wikipedia.org/wiki/ギンザケ,https://upload.wikimedia.org/wikipedia/commons/9/91/Oncorhynchus_keta.jpeg,Public domain,NOAA,,false
benizake,benizake.jpg,ja:紅鮭,https://ja.wikipedia.org/wiki/ベニザケ,https://upload.wikimedia.org/wikipedia/commons/4/4b/Oncorhynchus_nerka_2.jpg,Public domain,David Menke,,false
sakuramasu,sakuramasu.jpg,ja:桜鱒,https://ja.wikipedia.org/wiki/サクラマス,https://upload.wikimedia.org/wikipedia/commons/8/8e/Oncorhynchus_masou_masou-1.jpg,CC BY 3.0,Apple2000,https://creativecommons.org/licenses/by/3.0,true
nijimasu,nijimasu.jpg,ja:虹鱒,https://ja.wikipedia.org/wiki/日高町_(兵庫県),https://upload.wikimedia.org/wikipedia/commons/9/9e/130914_Uemura_Naomi_Memorial_Museum_Toyooka_Hyogo_pref_Japan01s3.jpg,CC BY 2.5,663highland,https://creativecommons.org/licenses/by/2.5,true
steelhead,steelhead.jpg,ja:スチールヘッド,https://ja.wikipedia.org/wiki/ニジマス,https://upload.wikimedia.org/wikipedia/commons/d/db/Trout.jpg,CC BY-SA 3.0,Jonathunder,https://creativecommons.org/licenses/by-sa/3.0,true
himemasu,himemasu.jpg,ja:姫鱒,https://ja.wikipedia.org/wiki/ヒメマス,https://upload.wikimedia.org/wikipedia/commons/c/c1/Himemasu.JPG,CC0,self,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
biwamasu,biwamasu.jpg,ja:琵琶鱒,https://ja.wikipedia.org/wiki/ビワマス,https://upload.wikimedia.org/wikipedia/commons/5/5a/BiwaTrout%28LakeBiwa-JP%29.jpg,CC BY-SA 3.0,,http://creativecommons.org/licenses/by-sa/3.0/,true
hamachi,hamachi.jpg,ja:魬,https://ja.wikipedia.org/wiki/ブリ,https://upload.wikimedia.org/wikipedia/commons/a/a9/Seriola_quinqueradiata_%28200810%29.jpg,CC BY-SA 3.0,E-190's,https://creativecommons.org/licenses/by-sa/3.0,true
buri,buri.jpg,ja:鰤,https://ja.wikipedia.org/wiki/ブリ,https://upload.wikimedia.org/wikipedia/commons/a/a9/Seriola_quinqueradiata_%28200810%29.jpg,CC BY-SA 3.0,E-190's,https://creativecommons.org/licenses/by-sa/3.0,true
kanpachi,kanpachi.jpg,ja:間八,https://ja.wikipedia.org/wiki/カンパチ,https://upload.wikimedia.org/wikipedia/commons/2/29/Fish4446_-_Flickr_-_NOAA_Photo_Library.jpg,Public domain,"SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC.",,false
shimaaji,shimaaji.jpg,ja:縞鯵,https://ja.wikipedia.org/wiki/シマアジ,https://upload.wikimedia.org/wikipedia/commons/8/88/Pseudocaranx_dentex_121376536.jpg,CC BY 4.0,Julien Renoult,https://creativecommons.org/licenses/by/4.0,true
hiramasa,hiramasa.jpg,ja:平政,https://ja.wikipedia.org/wiki/北流市,https://upload.wikimedia.org/wikipedia/commons/d/df/ChinaGuangxiYulinBeiliu.png,CC BY-SA 4.0,Slb nsk,https://creativecommons.org/licenses/by-sa/4.0,true
saba,saba.jpg,ja:鯖,https://ja.wikipedia.org/wiki/サバ,https://upload.wikimedia.org/wikipedia/commons/8/88/Maquereaux_etal.jpg,Public domain,Jastrow,,false
shimesaba,shimesaba.jpg,ja:サバ,https://ja.wikipedia.org/wiki/サバ,https://upload.wikimedia.org/wikipedia/commons/8/88/Maquereaux_etal.jpg,Public domain,Jastrow,,false
aji,aji.jpg,ja:鯵,https://ja.wikipedia.org/wiki/アジ,https://upload.wikimedia.org/wikipedia/commons/d/d9/MaAji.jpg,CC BY 2.5,Izuzuki,https://creativecommons.org/licenses/by/2.5,true
iwashi,iwashi.jpg,ja:鰯,https://ja.wikipedia.org/wiki/イワシ,https://upload.wikimedia.org/wikipedia/commons/5/53/IWASI_NO_MURE.JPG,CC BY-SA 3.0,C1815,https://creativecommons.org/licenses/by-sa/3.0,true
sanma,sanma.jpg,ja:秋刀魚,https://ja.wikipedia.org/wiki/秋刀魚の味,https://upload.wikimedia.org/wikipedia/commons/a/a1/Kinema-Junpo-1963-February-Special-4.jpg,Public domain,キネマ旬報社,,false
kohada,kohada.jpg,ja:小鰭,https://ja.wikipedia.org/wiki/コノシロ,https://upload.wikimedia.org/wikipedia/commons/e/e7/Konosirus_punctatus.JPG,CC BY-SA 4.0,四葉亭四迷,https://creativecommons.org/licenses/by-sa/4.0,true
sayori,sayori.jpg,ja:細魚,https://ja.wikipedia.org/wiki/サヨリ,https://upload.wikimedia.org/wikipedia/commons/8/82/Hyporhamphus_meeki.jpg,Public domain,"SEFSC Pascagoula Laboratory; Collection of Brandi Noble, NOAA/NMFS/SEFSC NOAA Photo Library",,false
kisu,kisu.jpg,en:Japanese whiting,https://en.wikipedia.org/wiki/Japanese_whiting,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sillago_japonica-02.jpg,CC0,Togabi,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
nishin,nishin.jpg,ja:鰊,https://ja.wikipedia.org/wiki/ニシン,https://upload.wikimedia.org/wikipedia/commons/b/b0/Clupea_pallasii_by_OpenCage.jpg,CC BY-SA 2.5,,https://creativecommons.org/licenses/by-sa/2.5,true
shirasu,shirasu.jpg,ja:しらす,https://ja.wikipedia.org/wiki/ちりめんじゃこ,https://upload.wikimedia.org/wikipedia/commons/7/70/Chirimenjako_%28zoom%29.JPG,CC BY-SA 4.0,Alpsdake,https://creativecommons.org/licenses/by-sa/4.0,true
